Part Name,Material Name
"Side_Cover_3,_Cell_Pack_HV_Battery__A2992800237_(4MFC9X-Com_00151364)",MS04
"Side_Cover_3,_Cell_Pack_HV_Battery_1__A2992800237_(4MFC9X-Com_00151364)",MS04
"Spacer,_Cell_Pack__A2992800176_(4MFC9X-Com_00233647)",MS04
"Spacer,_Cell_Pack_1__A2992800176_(4MFC9X-Com_00233647)",MS04
"Spacer_2,_Cell_Pack__A2992800178_(4MFC9X-Com_00233649)",MS04
"Spacer_2,_Cell_Pack_1__A2992800178_(4MFC9X-Com_00233649)",MS04
"Spacer_3,_Cell_Pack__A2992800191_(4MFC9X-Com_00233651)",MS04
"Spacer_3,_Cell_Pack_1__A2992800191_(4MFC9X-Com_00233651)",MS04
"Cooling_Plate,_HV_Battery__A2992800216_(4MFC9X-Com_00039070)",S2
"NVH_Foam,_Insulation__A2992800177_(4MFC9X-Com_00039090)",S3
"NVH_Foam,_Insulation_1__A2992800177_(4MFC9X-Com_00039090)",S3
"NVH_Foam_2,_Insulation__A2992800217_(4MFC9X-Com_00108035)",S16
"NVH_Foam_2,_Insulation_1__A2992800217_(4MFC9X-Com_00108035)",S16
"NVH_Foam_3,_Insulation__A2992800218_(4MFC9X-Com_00108036)",S16
"NVH_Foam_3,_Insulation_1__A2992800218_(4MFC9X-Com_00108036)",S16
"NVH_Foam_4,_Insulation__A2992800238_(4MFC9X-Com_00108037)",MS04
"NVH_Foam_4,_Insulation_1__A2992800238_(4MFC9X-Com_00108037)",MS04
"NVH_Foam_5,_Insulation__A2992800239_(4MFC9X-Com_00151375)",MS04
"NVH_Foam_5,_Insulation_1__A2992800239_(4MFC9X-Com_00151375)",MS04
Busbar__A2991200436_(4MFC9X-Com_00046927),S5
Busbar_2__A2991200466_(4MFC9X-Com_00057745),S5
"Bracket,_Support_Frame__A2992800225_(4MFC9X-Com_00044346)",MS04
"Bracket_2,_Support_Frame__A2992800231_(4MFC9X-Com_00160000)",MS04
"Cover,_Busbar__A2992800209_(4MFC9X-Com_00062260)",S5
"Cover_2,_Busbar__A2992800210_(4MFC9X-Com_00057744)",S5
"NVH_Insulation,_Cooling_Plate__A2992800211_(4MFC9X-Com_00065187)",MS04
"Sensor,_Coolant_Temperature_HV_Battery__A2991200663_(4MFC9X-Com_00125988)",MS04
"Sensor,_Coolant_Temperature_HV_Battery_1__A2991200663_(4MFC9X-Com_00125988)",MS04
"Terminal,_HV_Battery__A2991200628_(4MFC9X-Com_00160775)",MS04
"Terminal,_HV_Battery_1__A2991200628_(4MFC9X-Com_00160775)",MS04
"Fuse,_HV_Switching_Unit__A2991200640_(4MFC9X-Com_00028921)",S3
"PCB,_BMS_Module__A2991200761_(4MFC9X-Com_00060157)",S4
Busbar__A2991200520_(4MFC9X-Com_00028927),S2
Busbar_2__A2991200589_(4MFC9X-Com_00032125),S2
Busbar_3__A2991200590_(4MFC9X-Com_00032182),S2
Busbar_4__A2991200591_(4MFC9X-Com_00032198),S5
Busbar_5__A2991200593_(4MFC9X-Com_00032221),S5
Busbar_6__A2991200594_(4MFC9X-Com_00032283),S5
"Cover,_Top__A2991200610_(4MFC9X-Com_00028931)",MS04
"Cover_2,_Top__A2991200608_(4MFC9X-Com_00065172)",MS04
"Contactor,_HV_Switching_Unit__A2991200617_(4MFC9X-Com_00039098)",MS04
"Contactor_2,_HV_Switching_Unit__A2991200619_(4MFC9X-Com_00071799)",MS04
"Harness,_HV_Switching_Unit__A2991200621_(4MFC9X-Com_00037710)",MS04
"Shunt_Resistor,_HV_Switching_Unit__A2991200657_(4MFC9X-Com_00082077)",S2
"Housing,_HV_Switching_Unit__A2991200664_(4MFC9X-Com_00054634)",MS04
"Cover,_HV_Switching_Unit_Busbar__A2991200721_(4MFC9X-Com_00075096)",S5
Pyrofuse__A2991200658_(4MFC9X-Com_00104519),S2
"Lock,_HV_Switching_Unit_Temperature_Sensor__A2991200694_(4MFC9X-Com_00283020)",MS04
"Lock,_HV_Switching_Unit_Temperature_Sensor_1__A2991200694_(4MFC9X-Com_00283020)",MS04
"FPC,_Cell_Monitoring__A2991200665_(4MFC9X-Com_00169695)",S5
"FPC,_Cell_Monitoring_1__A2991200665_(4MFC9X-Com_00169695)",S5
"FPC_2,_Cell_Monitoring__A2991200666_(4MFC9X-Com_00170428)",S5
"FPC_2,_Cell_Monitoring_1__A2991200666_(4MFC9X-Com_00170428)",S5
"NVH_Foam,_HV_Battery_Busbar_Protection__A2992800261_(4MFC9X-Com_00204244)",S3
"NVH_Foam,_HV_Battery_Busbar_Protection_1__A2992800261_(4MFC9X-Com_00204244)",S3
"NVH_Foam_2,_HV_Battery_Busbar_Protection__A2992800262_(4MFC9X-Com_00204245)",S3
